id,url,title,price,price_per_m2,rooms,area,floor,total_floors,address,district,city
1009720433,https://krisha.kz/a/show/1009720433,2-комнатная квартира · 44 м² · 12/12 этаж,35000000,795455,2,44,12,12,"Нура р-н, Анет баба 9/1",Нура р-н,Астана
1009439909,https://krisha.kz/a/show/1009439909,1-комнатная квартира · 34.5 м² · 4/9 этаж,25500000,739130,1,34.5,4,9,"Наурызбайский р-н, мкр Шугыла, Мкрн Шугыла",Наурызбайский р-н,Алматы
1009140786,https://krisha.kz/a/show/1009140786,3-комнатная квартира · 76.4 м² · 4/11 этаж,75000000,981675,3,76.4,4,11,"Медеуский р-н, Сагадат Нурмагамбетов 71 — Толе би",Медеуский р-н,Алматы
1008777775,https://krisha.kz/a/show/1008777775,2-комнатная квартира · 44 м² · 11/13 этаж,40000000,909091,2,44,11,13,"Алматы р-н, Тауелсиздик 25/1 — Тауелсиздик / Шарля де Голля",Алматы р-н,Астана
1008602220,https://krisha.kz/a/show/1008602220,2-комнатная квартира · 53 м² · 3/5 этаж,26500000,500000,2,53,3,5,"Алатауский р-н, 20-й микрорайон",Алатауский р-н,Алматы
1008436498,https://krisha.kz/a/show/1008436498,1-комнатная квартира · 38 м² · 13/15 этаж,27500000,723684,1,38,13,15,"Алматы р-н, Сагадат Нурмагамбетов 21/1",Алматы р-н,Астана
1007470358,https://krisha.kz/a/show/1007470358,2-комнатная квартира · 44 м² · 5/15 этаж,21900000,497727,2,44,5,15,"Сарыарка р-н, Бейбарыс Султан 12",Сарыарка р-н,Астана
1006529189,https://krisha.kz/a/show/1006529189,1-комнатная квартира · 35.31 м² · 6/9 этаж,26900000,761824,1,35.31,6,9,"Медеуский р-н, мкр Думан-2, Халиуллина 154Б",Медеуский р-н,Алматы
1002307805,https://krisha.kz/a/show/1002307805,1-комнатная квартира · 38.98 м² · 11/12 этаж,18000000,461775,1,38.98,11,12,"Алматы р-н, М. Тынышбайулы 5 — Байтурсынова",Алматы р-н,Астана
1001542929,https://krisha.kz/a/show/1001542929,3-комнатная квартира · 67 м² · 5/5 этаж,48000000,716418,3,67,5,5,"Алмалинский р-н, Богенбай батыра 293 — Родостовцева",Алмалинский р-н,Алматы
1001252232,https://krisha.kz/a/show/1001252232,2-комнатная квартира · 57 м² · 7/9 этаж,25500000,447368,2,57,7,9,"Алатауский р-н, мкр Ожет, Северное Кольцо 92/13 блок 7",Алатауский р-н,Алматы
1010088311,https://krisha.kz/a/show/1010088311,3-комнатная квартира · 84.37 м²,108921670,1291000,3,84.37,,,"Нура р-н, Е 900 5",Нура р-н,Астана
1000673497,https://krisha.kz/a/show/1000673497,3-комнатная квартира · 120.76 м²,128126360,1061000,3,120.76,,,"Есильский р-н, ул. Мангилик Ел, 57",Есильский р-н,Астана
761098324,https://krisha.kz/a/show/761098324,2-комнатная квартира · 66.02 м²,57239340,867000,2,66.02,,,"Нура р-н, Е-899 7",Нура р-н,Астана
682004959,https://krisha.kz/a/show/682004959,2-комнатная квартира · 64.2 м²,27000000,420561,2,64.2,,,вдоль Капчагайской трассы,вдоль Капчагайской трассы,Коянкус
668419873,https://krisha.kz/a/show/668419873,3-комнатная квартира · 89.3 м²,41078000,460000,3,89.3,,,"Казыбек би р-н, мкр Юго-Восток, Республики 23, 23/2",Казыбек би р-н,Караганда
1008908517,https://krisha.kz/a/show/1008908517,3-комнатная квартира · 70 м² · 5/5 этаж,19000000,271429,3,70,5,5,14-й мкр 4,14-й мкр 4,Актау
1010136736,https://krisha.kz/a/show/1010136736,2-комнатная квартира · 48 м² · 3/9 этаж,38000000,791667,2,48,3,9,"Нура р-н, Ильяса Омарова 19 — КОНФЕТКА",Нура р-н,Астана
1009510859,https://krisha.kz/a/show/1009510859,1-комнатная квартира · 43.5 м² · 5/5 этаж,8000000,183908,1,43.5,5,5,29а мкр сеним — Клиника сеним,29а мкр сеним — Клиника сеним,Актау
688106993,https://krisha.kz/a/show/688106993,3-комнатная квартира · 95 м² · 8/9 этаж,45000000,473684,3,95,8,9,Мкр.Нурсат 133/2,Мкр.Нурсат 133/2,Шымкент
697957410,https://krisha.kz/a/show/697957410,3-комнатная квартира · 70 м² · 5/5 этаж,45000000,642857,3,70,5,5,"Ауэзовский р-н, мкр Мамыр, Таугуль 12 — ШАЛЯПИНА - ЯССАУИ",Ауэзовский р-н,Алматы
1007632190,https://krisha.kz/a/show/1007632190,1-комнатная квартира · 31 м² · 5/10 этаж,22000000,709677,1,31,5,10,"Наурызбайский р-н, алтын орда 6/38к1 16 блок",Наурызбайский р-н,Алматы
686580012,https://krisha.kz/a/show/686580012,1-комнатная квартира · 41.2 м² · 4/6 этаж,25000000,606796,1,41.2,4,6,"Наурызбайский р-н, Жунисова 2/13к25 — Райымбека",Наурызбайский р-н,Алматы
1010172664,https://krisha.kz/a/show/1010172664,1-комнатная квартира · 41.2 м² · 3/13 этаж,37500000,910194,1,41.2,3,13,"Алмалинский р-н, Муратбаева — Райымбека",Алмалинский р-н,Алматы
1009875589,https://krisha.kz/a/show/1009875589,2-комнатная квартира · 43 м²,23600000,548837,2,43,,,"Алматы р-н, Ракымжан Кошкарбаев 36 — Мечеть «Хазрет Султан»",Алматы р-н,Астана
